"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0254606023112021,-0.00847570284090298,0.00507204005130627,-0.00360857655867329,0.00279187250267454,-0.00226917864620144,0.00190482813539284,-0.00163551483719066,0.00142772813195291,-0.00126207098392601,0.00112653910455977,-0.0010133066306437,0.00091705466920121,-0.000834042704397018,0.000761564243660699
0.0508960780818189,-0.0168761747433626,0.0100191896434135,-0.00704334070069701,0.00536203507106688,-0.00427005309906503,0.00349632966477954,-0.00291450878068751,0.00245781121261541,-0.00208766878832157,0.00178028104021025,-0.00152018504115157,0.00129691115062192,-0.00110312467320875,0.000933536193499073
0.0762813255681268,-0.0251268525240708,0.0147196335347159,-0.0101388519410379,0.00750638433957316,-0.00576604304044593,0.00451271731014225,-0.00355817783960305,0.0028033546783263,-0.00219126961675416,0.0016868568701593,-0.00126730862386515,0.00091705466920121,-0.000624976166251427,0.000382777592011165
0.101591292595655,-0.0331545025829491,0.0190576311967307,-0.0127460104114513,0.0090546318960459,-0.00658026492037081,0.00478680470679491,-0.00342621055793007,0.00236811916385173,-0.00153704427770929,0.000885475782023235,-0.000381059413647221,-4.17118439186661e-19,0.000276516364635638,-0.000464322021251185
0.126801001282657,-0.0408878709297665,0.0229263667300303,-0.0147392384757242,0.0098838273322307,-0.00661644639595609,0.00427350701367151,-0.00254737408111447,0.00127332470023494,-0.000351249311032291,-0.000287530615153417,0.000695634855137804,-0.00091705466920121,0.000990703272030844,-0.000951950075993682
0.151885572690263,-0.0482583156396019,0.0262305790261876,-0.0160225293618923,0.00992812205887874,-0.00587030942517234,0.00305725695258502,-0.00111324329371261,-0.000176110996822903,0.000956021313945024,-0.00133986329557311,0.00142466622416652,-0.00129691115062192,0.00103381129298229,-0.000702591811352844
0.176820251374991,-0.0552004161234288,0.0288889074124194,-0.0165340714701286,0.00918399851531176,-0.00443007609595469,0.00133811640660732,0.000563560005700698,-0.001576496973001,0.00193266262574503,-0.00182986878263719,0.00144168095541406,-0.000917054669201209,0.000376640077078701,9.07031219597237e-05
0.20158042981938,-0.0616525538058947,0.0308358950213706,-0.0162492256196912,0.00771054950816187,-0.00246603738220282,-0.00060113190885003,0.00211751457741453,-0.00253780340339003,0.00224091411481535,-0.00155189668560805,0.000738175462896497,8.34236878373321e-19,-0.000535658189125168,0.000813776977827765
0.226141672716637,-0.0675574590561584,0.0320236005564275,-0.0151817118314337,0.00562478549626284,-0.000210418200919025,-0.00244149958659403,0.00320987860137994,-0.00279229111814188,0.00177417044021786,-0.000622609107007651,-0.000334253783317564,0.00091705466920121,-0.00108511430953121,0.000906836177662355
0.250479741085338,-0.0728627195171877,0.0324227787655481,-0.0133829484827488,0.00309234248253504,0.00207008050483751,-0.00388026316955438,0.00360253097394979,-0.00226908123063906,0.000693849698297337,0.000567981272302354,-0.00123963038876123,0.00129691115062192,-0.000899539747125775,0.000297835601766158
